Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Traffic Type,Traffic Subtype,Fwd_Bwd_Packet_Ratio,Total_Packets,Total_Bytes,Avg_Packet_Size_Total,Flow_Symmetry,Flow_Activity
136.162.16.0-255.255.255.1-0-0-0,136.162.16.0,0.0,255.255.255.1,0,0.0,01/01/1970 07:44:16 AM,85224920.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173365724485279,9469435.555555554,13544785.53596921,37661420.0,415.0,85224920.0,9469435.555555554,13544785.53596921,37661420.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173365724485279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3361661.0,0.0,3361661.0,3361661.0,26166614.0,9954794.219477518,37661420.0,20417157.0,Benign,Audio,Audio,11.0,10.0,0.0,0.0,0.09090909090909094,0.11597575271742787
192.168.1.70-192.168.1.3-35844-64738-6,192.168.1.70,35844.0,192.168.1.3,64738,6.0,02/01/1970 05:23:34 AM,119983587.0,4547.0,4763.0,285079.0,378798.0,523.0,0.0,62.69606333846495,54.47107176638163,1348.0,0.0,79.52928826369961,53.26413200405267,5533.065118314891,77.59394624533104,12888.987753786632,71417.61093677288,2822274.0,22.0,119978775.0,26392.163440387176,101408.27176329108,2822274.0,22.0,119983443.0,25196.019109617737,99758.92824643718,2867927.0,92.0,0.0,0.0,0.0,0.0,145512.0,152424.0,37.89685000832655,39.69709623700448,0.0,1348.0,71.30028997959418,54.50961581054108,2971.29821581279,0.0,2.0,0.0,6388.0,9309.0,0.0,0.0,0.0,1.0,71.30794844253491,62.69606333846493,79.52928826369934,0.0,0.0,0.0,60321.0,580.0,7005.0,324.0,20362.0,340.0,27057.0,65280.0,1071.0,2747.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Audio,Audio,0.9546599496221663,9310.0,663877.0,71.30028997959403,0.9768016324777146,76.95258696537077
192.168.1.90-192.168.1.3-35433-64738-17,192.168.1.90,35433.0,192.168.1.3,64738,17.0,02/01/1970 05:30:57 AM,110615305.0,23.0,6810.0,230.0,531289.0,10.0,10.0,10.0,0.0,129.0,10.0,78.0160058737152,17.13621211948687,4805.112637894005,61.77264529533232,16190.764783372337,77390.94950144943,4230340.0,152.0,109989695.0,4999531.590909092,7758.897925295384,5017891.0,4980477.0,110615009.0,16245.411807901282,77519.5015871971,4230646.0,196.0,0.0,0.0,0.0,0.0,184.0,54480.0,0.2079278269856056,61.56471746834672,10.0,129.0,77.77714369329821,17.572994219457865,308.8101258370996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,77.78852626957412,10.0,78.01600587371513,0.0,0.0,0.0,132864.0,1706.0,5524.0,3.0,38.0,1135.0,88548.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Audio,Audio,0.0035237116429305535,6833.0,531519.0,77.7756804214223,0.0068773778167983135,61.21920286828047
136.162.16.0-255.255.255.1-0-0-0,136.162.16.0,0.0,255.255.255.1,0,0.0,01/01/1970 06:20:38 AM,102418587.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976385272723983,11379843.0,16230603.613358816,37629821.0,469.0,102418587.0,11379843.0,16230603.613358816,37629821.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976385272723983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349442.0,691.5504320004435,3349931.0,3348953.0,31906567.666666668,9911881.313883724,37629821.0,20461313.0,Benign,Text,Text,11.0,10.0,0.0,0.0,0.09090909090909094,0.09669441722308582
192.168.1.90-192.168.1.3-44476-64738-6,192.168.1.90,44476.0,192.168.1.3,64738,6.0,02/01/1970 04:57:42 AM,112488499.0,105.0,68.0,4015.0,7224.0,523.0,0.0,38.238095238095234,80.46888120566136,1348.0,0.0,106.23529411764706,164.77366816578348,99.91243638160732,1.5379350025819083,654002.9011627906,1278670.9903896889,5999935.0,16.0,112488499.0,1081620.1826923075,1500515.7402830983,5999935.0,16.0,112483582.0,1678859.432835821,1585976.5040752636,6004567.0,85.0,0.0,0.0,0.0,0.0,3368.0,2184.0,0.9334287587924878,0.6045062437894206,0.0,1348.0,64.59195402298847,124.63866917599525,15534.797853963186,0.0,2.0,0.0,103.0,172.0,0.0,0.0,0.0,0.0,64.96531791907515,38.23809523809524,106.23529411764706,0.0,0.0,0.0,1124.0,6.0,1650.0,2.0,100.0,1.0,180.0,65280.0,502.0,40.0,32.0,10908084.25,9791690.954794934,24323090.0,3013699.0,5629589.0,432313.4915899186,5999935.0,5004293.0,Benign,Text,Text,1.536231884057971,173.0,11239.0,64.5919540229885,0.7873563218390804,1.5243835412784867
192.168.1.90-192.168.1.70-58688-8080-6,192.168.1.90,58688.0,192.168.1.70,8080,6.0,01/01/1970 04:42:04 AM,2262.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.1732979664014,2262.0,0.0,2262.0,2262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,442.0866489832007,442.0866489832007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65280.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Video,Video HTTP,1.0,2.0,0.0,0.0,1.0,1.9954862101925446
192.168.1.90-192.168.1.70-59924-8080-6,192.168.1.90,59924.0,192.168.1.70,8080,6.0,01/01/1970 04:50:53 AM,16156.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.79301807378064,16156.0,0.0,16156.0,16156.0,16156.0,16156.0,0.0,16156.0,16156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,123.79301807378064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Video,Video HTTP,3.0,2.0,0.0,0.0,0.33333333333333337,1.9682017328048054
192.168.1.90-192.168.1.70-45876-8080-6,192.168.1.90,45876.0,192.168.1.70,8080,6.0,01/01/1970 04:57:46 AM,876713.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.421872380128959,438356.5,616696.8152508168,874427.0,2286.0,874427.0,874427.0,0.0,874427.0,874427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.0,2.281248253419306,1.140624126709653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24576.0,505.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Video,Video HTTP,1.5,3.0,0.0,0.0,0.75,1.5985395742449697
192.168.1.90-192.168.1.70-52996-5005-17,192.168.1.90,52996.0,192.168.1.70,5005,17.0,01/01/1970 05:10:05 AM,10080236.0,2.0,0.0,128.0,0.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,12.6981154012664,0.1984080531447875,10080236.0,0.0,10080236.0,10080236.0,10080236.0,10080236.0,0.0,10080236.0,10080236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.1984080531447875,0.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,128.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,10080236.0,0.0,10080236.0,10080236.0,Benign,Video,Video RTP,3.0,2.0,128.0,42.666666666666664,0.33333333333333337,0.18050157054416532
192.168.1.70-192.168.1.90-53061-5004-17,192.168.1.70,53061.0,192.168.1.90,5004,17.0,01/01/1970 05:13:53 AM,33476358.0,3240.0,0.0,4302720.0,0.0,1328.0,1328.0,1328.0,0.0,0.0,0.0,0.0,0.0,128530.11071276036,96.7847219222593,10335.399197283114,47829.89156838142,666138.0,0.0,33476358.0,10335.399197283114,47829.89156838142,666138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25920.0,0.0,96.7847219222593,0.0,1328.0,1328.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.40987654321,1328.0,0.0,0.0,0.0,0.0,4302720.0,3240.0,128530.0,0.0,0.0,0.0,0.0,0.0,0.0,3239.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Video,Video RTP,3241.0,3240.0,4302720.0,1327.5902499228632,0.000308546744831828,93.9774439051828
